RA,Dec
130.5366025389473,-17.474804619455618
130.53774877155905,-17.474804444489376
130.5388951981719,-17.475897595922344
130.5388951981719,-17.475897595922344
130.5400414376282,-17.475897407807423
130.5411878848769,-17.47699054608288
130.54118809269855,-17.47808387905809
130.54118809269855,-17.47808387905809
130.5423343458913,-17.478083677779335
130.5434808206707,-17.479176802894678
130.5434810422886,-17.480270135872903
130.54348126390914,-17.481363468865055
130.54348126390914,-17.481363468865055
130.54462753773072,-17.48136325440468
130.54577404693669,-17.482456366349886
130.54577404693669,-17.482456366349886
130.54692056990584,-17.48354947170643
130.54692056990584,-17.48354947170643
130.5480671066375,-17.48464257047219
130.54806735585288,-17.485735903452355
130.54806735585288,-17.485735903452355
130.54921391324547,-17.48682899561915
130.54921416936307,-17.487922328602394
130.5492144254837,-17.48901566159401
130.54921468160748,-17.490108994593182
130.54921493773432,-17.491202327599133
130.54921493773432,-17.491202327599133
130.55036127345977,-17.491202080137015
130.5515078790732,-17.492295159078814
130.55150814899943,-17.493388492062522
130.55150814899943,-17.493388492062522
130.5526547752733,-17.494481564387197
130.5526550521028,-17.49557489736153
130.55265532893566,-17.49666823033865
130.55265560577183,-17.497761563317763
130.5515094986793,-17.498855157030892
130.5515094986793,-17.498855157030892
130.5515094986793,-17.498855157030892
130.55265588261136,-17.49885489629807
130.55380226650652,-17.49885462898756
130.554948941001,-17.499947688044056
130.55494923164156,-17.501041020988353
130.55494952228563,-17.502134353931467
130.5549498129332,-17.503227686872584
130.5549498129332,-17.503227686872584
130.55609652188937,-17.504320739251714
130.55609681944148,-17.505414072167806
130.55609711699714,-17.506507405079518
130.55609711699714,-17.506507405079518
130.55724385351473,-17.507600450789674
130.55724385351473,-17.507600450789674
130.55839060379097,-17.508693489874027
130.55839060379097,-17.508693489874027
130.55953704956517,-17.508693189495286
130.56068349529696,-17.50869288253492
130.56182994098555,-17.50869256899293
130.56182994098555,-17.50869256899293
130.56182960893383,-17.50759923619224
130.56297570873502,-17.50650558330454
130.5641221405388,-17.506505256642757
130.5652685722966,-17.50650492340023
130.5664150040074,-17.506504583576955
130.56756143567034,-17.506504237172933
130.56870786728453,-17.506503884188177
130.569854298849,-17.50650352462267
130.57100073036287,-17.506503158476434
130.5721471618252,-17.50650278574945
130.5732935932351,-17.506502406441733
130.5744400245916,-17.506502020553278
130.57558687071378,-17.507594960606397
130.5755872855387,-17.50868829312273
130.5744412483731,-17.5097820181798
130.57329479632327,-17.509782404145252
130.5721483442201,-17.509782783528653
130.5721483442201,-17.509782783528653
130.5721483442201,-17.509782783528653
130.57329479632327,-17.509782404145252
130.57444165631006,-17.510875350707906
130.57444206425194,-17.511968683227657
130.57444247219874,-17.51306201573825
130.57444288015046,-17.514155348238898
130.57329680156678,-17.51524906682258
130.57329680156678,-17.51524906682258
130.57329680156678,-17.51524906682258
130.57444328810706,-17.51524868072879
130.57559018945292,-17.516341620503027
130.57559060431782,-17.51743495294294
130.57559101918764,-17.5185282853697
130.57444491998262,-17.51962201056498
130.57444491998262,-17.51962201056498
130.5744453279638,-17.5207153429892
130.57444573594987,-17.521808675397892
130.57444614394086,-17.522902007790265
130.5733000102074,-17.52399572646463
130.57215346842463,-17.523996106176007
130.57215346842463,-17.523996106176007
130.57215346842463,-17.523996106176007
130.57330041130916,-17.52508905884763
130.57215425683492,-17.52618277097376
130.5710077012016,-17.526183144146987
130.5698611455167,-17.526183510731574
130.56871458978122,-17.526183870727557
130.56756803399597,-17.526184224134912
130.56756803399597,-17.526184224134912
130.56642183787832,-17.527277903443252
130.56527527509726,-17.527278243695974
130.56412871226922,-17.527278577359628
130.5629821493951,-17.527278904434226
130.56183558647592,-17.527279224919763
130.5606890235125,-17.52727953881623
130.5606890235125,-17.52727953881623
130.56068934873687,-17.528372871394165
130.55954309715983,-17.52946651129923
130.55954309715983,-17.52946651129923
130.5595434154926,-17.53055984385458
130.5595437338292,-17.531653176387238
130.5583974546234,-17.532746809714634
130.5583974546234,-17.532746809714634
130.55839776606794,-17.533840142219496
130.55839776606794,-17.533840142219496
130.55954437051386,-17.5338398413813
130.5606913001653,-17.53493286639082
130.56069162541706,-17.536026198804343
130.55954532556964,-17.537119838682326
130.55839870042416,-17.53712013958045
130.55725207523722,-17.537120433885573
130.55610545000974,-17.537120721597688
130.55610545000974,-17.537120721597688
130.55495911550216,-17.53821433517387
130.55381248329633,-17.53821460971818
130.5526658510527,-17.538214877669045
